"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","27","23-263229","12","C/C","S","4734   La Villa Marina  #C","Marina Del Rey","2","3.00 (2 0 1 0)","1,626","$796.43","$1,295,000","$1,330,000","$410.00","66,564","1966","8"
"","28","23-265089","12","C/C","S","33   Reef St #4","Marina Del Rey","2","2.00 (2 0 0 0)","1,631","$1,286.94","$2,099,000","$2,079,000","$733.00","8,371","1973","3"
"","1","23-265253","12","C/C","S","13700   MARINA POINTE DR #602","MARINA DEL REY","2","3.00 (2 0 1 0)","1,630","$919.63","$1,499,000","$1,499,000","$1,200.79","124,670","2003","18"
"","35","23-266381","12","C/C","S","4314   Marina City DR #PH21","MARINA DEL REY","3","3.00 (2 0 1 0)","2,652","$621.79","$1,649,000","$1,625,000","$2,469.98","","1972","11"
"","37","23-268183","12","C/C","S","13221   Admiral Ave #F","Marina Del Rey","3","2.00 (2 0 0 0)","1,932","$566.77","$1,095,000","$1,236,000","$528.00","85,032","1966","7"
"","54","23-268441","12","C/C","S","13082   Mindanao Way #14","Marina Del Rey","2","3.00 (3 0 0 0)","2,199","$727.15","$1,599,000","$1,728,000","$1,072.50","538,756","1980","11"
"","54","23-269533","12","C/C","S","13600   Marina Pointe Dr #409","Marina Del Rey","2","3.00 (3 0 0 0)","2,075","$650.60","$1,350,000","$1,295,000","$2,024.30","122,880","1999","5"
"","21","23-271123","12","C/C","S","30   Voyage St ","Marina Del Rey","3","4.00 (3 0 1 0)","1,700","$1,111.76","$1,890,000","$1,900,000","","2,671","1975","7"
"","33","23-271291","12","C/C","S","4080   GLENCOE Ave #303","Marina Del Rey","2","2.00 (2 0 0 0)","1,340","$944.03","$1,265,000","$1,265,000","$582.62","11,526","2011","4"
"","1","23-285257","12","C/C","S","4616   Glencoe Ave #4","Marina Del Rey","2","3.00 (2 0 1 0)","1,912","$627.62","$1,200,000","$1,200,000","$696.00","159,265","1978","0"
"","","COMP23100036","12","C/C","S","13249   FIJI WAY #F","VENICE","2","2.00 (2 0 0 0)","1,582","$779.08","$1,232,500","$1,232,500","","66,736","1971","0"
"","","COMP23100120","12","C/C","S","13650   MARINA POINTE DR #605","MARINA DEL REY","2","2.00 (2 0 0 0)","1,602","$827.09","$1,325,000","$1,325,000","","31,650","2006","0"
"","","COMP23100480","12","C/C","S","4521   ALLA RD #4","MARINA DEL REY","2","3.00 (3 0 0 0)","1,912","$575.31","$1,100,000","$1,100,000","","159,265","1978","0"
"","","COMP23100732","12","C/C","S","13600   MARINA POINTE DR #705","MARINA DEL REY","2","3.00 (3 0 0 0)","1,830","$551.91","$1,010,000","$1,010,000","","122,880","1999","0"
"","","COMP23101010","12","C/C","S","13226   ADMIRAL AVE #D","VENICE","2","2.00 (2 0 0 0)","1,932","$668.22","$1,291,000","$1,291,000","","85,900","1967","0"
"","","COMP23101075","12","C/C","S","6   NORTHSTAR ST #108","MARINA DEL REY","3","2.00 (2 0 0 0)","1,170","$2,474.36","$2,895,000","$2,895,000","","18,535","1969","0"
"","","COMP23101765","12","C/C","S","311   BORA BORA WAY #3210","MARINA DEL REY","2","2.00 (2 0 0 0)","1,633","$646.05","$1,055,000","$1,055,000","","194,601","1979","0"
"","","COMP23101873","12","C/C","S","310   WASHINGTON BLVD #405","MARINA DEL REY","3","3.00 (3 0 0 0)","1,960","$806.12","$1,580,000","$1,580,000","","8,806","2012","0"
"","","COMP23102019","12","C/C","S","13020   MAXELLA AVE #3","MARINA DEL REY","2","2.00 (2 0 0 0)","1,398","$732.47","$1,024,000","$1,024,000","","390,060","1975","0"
"","","COMP23102052","12","C/C","S","4265   MARINA CITY DR #534","MARINA DEL REY",""," (0 0 0 0)","","$0","$495,000","$495,000","","433,784","","0"
"","","COMP23102806","12","C/C","S","3215   OCEAN FRONT WALK #101","VENICE","3","3.00 (3 0 0 0)","1,489","$1,280.39","$1,906,500","$1,906,500","","2,520","1968","0"
"","","COMP23102828","12","C/C","S","4357   ALLA RD #3","MARINA DEL REY","2","3.00 (3 0 0 0)","1,575","$600","$945,000","$945,000","","390,060","1975","0"
"","","COMP23102876","12","C/C","S","4720   LA VILLA MARINA  #30","MARINA DEL REY","2","2.00 (2 0 0 0)","1,582","$600.51","$950,000","$950,000","","66,564","1966","0"
"","","COMP23102960","12","C/C","S","13326   MAXELLA AVE #3","MARINA DEL REY","3","3.00 (3 0 0 0)","1,585","$630.91","$1,000,000","$1,000,000","","552,048","1974","0"
"","","COMP23103082","12","C/C","S","4608   GLENCOE AVE #5","MARINA DEL REY","3","3.00 (3 0 0 0)","1,707","$761.57","$1,300,000","$1,300,000","","159,265","1978","0"
"","","COMP23103104","12","C/C","S","4736   LA VILLA MARINA  #A","VENICE","2","2.00 (2 0 0 0)","1,582","$600.51","$950,000","$950,000","","66,564","1966","0"
"","","COMP23103165","12","C/C","S","310   WASHINGTON BLVD #305","MARINA DEL REY","3","3.00 (3 0 0 0)","1,960","$774.49","$1,518,000","$1,518,000","","8,720","2012","0"
"","","COMP23103803","12","C/C","S","13600   MARINA POINTE DR #909","VENICE","2","3.00 (3 0 0 0)","1,930","$997.93","$1,926,000","$1,926,000","","122,880","1999","0"
"","","COMP23104074","12","C/C","S","4764   LA VILLA MARINA  #N","VENICE","3","2.00 (2 0 0 0)","1,932","$559.78","$1,081,500","$1,081,500","","66,563","1967","0"
"","","COMP23104150","12","C/C","S","4737   LA VILLA MARINA  #H","VENICE","2","2.00 (2 0 0 0)","1,582","$591.02","$935,000","$935,000","","85,236","1966","0"
"","","COMP23104904","12","C/C","S","3111   VIA DOLCE  #402","MARINA DEL REY","2","3.00 (3 0 0 0)","1,550","$764.52","$1,185,000","$1,185,000","","27,336","2010","0"
"","","COMP23105025","12","C/C","S","306   BORA BORA WAY #109","VENICE","2","2.00 (2 0 0 0)","1,481","$472.65","$700,000","$700,000","","100,437","1978","0"
"","","COMP23105437","12","C/C","S","4080   GLENCOE AVE #418","MARINA DEL REY","1","2.00 (2 0 0 0)","1,260","$1,027.78","$1,295,000","$1,295,000","","11,321","2011","0"
"","","COMP23105459","12","C/C","S","1   JIB ST #104","MARINA DEL REY","","1.00 (1 0 0 0)","601","$1,329.45","$799,000","$799,000","","5,351","1969","0"
"","","COMP23105659","12","C/C","S","24   KETCH ST #1","MARINA DEL REY","3","3.00 (3 0 0 0)","1,884","$1,326.96","$2,500,000","$2,500,000","","3,418","1979","0"
"","","COMP23106095","12","C/C","S","24   WESTWIND ST #C","MARINA DEL REY","2","3.00 (3 0 0 0)","1,367","$987.56","$1,350,000","$1,350,000","","6,140","1973","0"
